signal_id,initiative,institution,signal_type_now,initiative_types_now,recommended_action,confidence,score
b92600c37b,"CME is set to let traders bet on bitcoin volatility, not just price",CME Group,Product Launch,Crypto / Digital Assets,REVERT_TO_UNMAPPED,low,-1
e843fd0888,Morgan Stanley’s ETrade crypto undercuts Coinbase,Morgan Stanley,Product Launch,Crypto / Digital Assets|Payment Infrastructure,KEEP_RESOLVED,medium,2
c192463ab4,US Senate Banking Committee Expected to Hold a Formal Vote on CLARITY Act as Early as Next Week,Coinbase,Regulatory Action,Crypto / Digital Assets,KEEP_RESOLVED,high,3
74ef89fbd2,"Kraken parent Payward applies for national OCC trust charter following Ripple, Coinbase",Coinbase,Regulatory Action,Crypto / Digital Assets,KEEP_RESOLVED,high,4
e82bb25060,Strategic crypto positioning after the latest Fed policy: How investors can earn passive income with SHR Miner online AI mining,Federal Reserve,Product Launch,Crypto / Digital Assets,REVERT_TO_UNMAPPED,low,1
59ca2c6155,Kraken parent goes for the OCC charter in bid to become a federal crypto bank,OCC (Office of the Comptroller of the Currency),Product Launch,Crypto / Digital Assets,KEEP_RESOLVED,high,4
d1a482afa9,Revolut turns Bitcoin into a UX horror show with a two‑cent “flash crash” that never happened,Revolut,Strategic Partnership,Crypto / Digital Assets,REVERT_TO_UNMAPPED,high,-3
83167d2e6b,"Canton Network developer Digital Asset eyes $300 million raise at $2 billion valuation, led by a16z crypto: Bloomberg",Canton Network,Investment / M&A,DLT / Blockchain Infrastructure|Crypto / Digital Assets,REVERT_TO_UNMAPPED,low,0
6f5e2d5dc3,Swiss central bank bitcoin reserve push fails over signature shortfall,CoinDesk,Regulatory Action,Crypto / Digital Assets,KEEP_RESOLVED,high,3
90ee7893af,Why JPMorgan AI is no longer an experiment,JPMorgan,Product Launch,,KEEP_RESOLVED,high,3
