id,status,attempt,old_contam,new_contam,old_len,new_len,date,url,improved
n3hnwo,changed,1,4,0,793,667,2026-05-02,https://crypto.news/sec-schedules-clarity-act-roundtable-in-may/,True
9gtqse,changed,1,4,0,793,591,2026-05-03,https://crypto.news/iran-crypto-giant-nobitex-hit-by-sanctions-questions-reuters/,True
9lqy0e,changed,1,4,0,792,782,2026-05-03,https://crypto.news/new-york-secures-5m-from-uphold-over-credearn-promotion/,True
9wbyt4,changed,1,4,0,789,762,2026-05-03,https://crypto.news/coinbase-says-crypto-bill-deal-clears-senate-path/,True
ptkja6,changed,1,2,0,789,756,2026-05-03,https://crypto.news/crypto-market-recap-what-happened-today-5/,True
63cktg,changed,1,4,0,788,576,2026-05-04,https://crypto.news/anthropic-lines-up-1-5b-ai-venture-with-blackstone-goldman-sachs/,True
6c6h7j,changed,1,4,0,791,726,2026-05-04,https://crypto.news/bitget-cfd-daily-volume-hits-record-8b-on-gold-surge/,True
asazgg,changed,1,4,0,788,668,2026-05-04,https://crypto.news/why-brian-armstrong-said-mark-it-up-on-clarity-act/,True
gcvd39,changed,1,4,0,787,700,2026-05-04,https://crypto.news/morgan-stanley-says-bitcoin-on-bank-balance-sheets/,True
i867om,changed,1,4,0,788,761,2026-05-04,https://crypto.news/kraken-parent-sues-ex-custodian-etana-over-alleged-25m-ponzi-scheme/,True
l3k8b,changed,1,4,0,794,794,2026-05-04,https://crypto.news/defi-development-launches-200m-atm-to-keep-buying-solana/,True
li3omu,changed,1,4,0,790,660,2026-05-04,https://crypto.news/bitget-and-wiw3ch-expand-blockchain4her-for-women-in-web3/,True
qbcqaa,unchanged,1,4,4,791,791,2026-05-04,https://crypto.news/korean-crypto-exchanges-push-back-against-strict-10m-won-aml-trigger/,False
sqqvvg,changed,1,4,0,793,592,2026-05-04,https://crypto.news/cftc-prediction-market-rules-spark-industry-debate/,True
ul280e,changed,1,4,0,793,460,2026-05-04,https://crypto.news/hut-8-unlocks-260m-in-bitcoin-as-it-refinances-200m-falconx-loan/,True
7sabuz,changed,1,4,0,785,739,2026-05-05,https://crypto.news/moscow-exchange-bets-bigger-on-crypto-with-sol-xrp-trx-and-bnb-indexes/,True
8b3kea,unchanged,1,4,4,794,794,2026-05-05,https://crypto.news/strive-pushes-past-15000-btc-with-fresh-33-9m-bitcoin-buy/,False
cispc7,changed,1,1,0,438,753,2026-05-05,https://crypto.news/bullish-acquisition-of-equiniti-targets-tokens/,True
eugtte,changed,1,4,0,792,635,2026-05-05,https://crypto.news/uphold-rejects-nyag-claims-after-5m-credearn-settlement/,True
fj8nl5,changed,1,4,0,788,685,2026-05-05,https://crypto.news/garlinghouse-defends-clarity-act-shift/,True
hhf55v,changed,1,4,0,791,525,2026-05-05,https://crypto.news/ripple-begins-sharing-dprk-threat-intel-with-crypto-firms/,True
kni8wg,changed,1,4,0,793,699,2026-05-05,https://crypto.news/crypto-etps-log-five-straight-weeks-of-inflows-topping-4b/,True
uymi2o,changed,1,4,0,796,723,2026-05-05,https://crypto.news/ripple-to-share-dprk-hacker-intel-with-crypto-industry-after-577m-in-defi-hacks/,True
vkyy46,changed,1,5,0,788,497,2026-05-05,https://crypto.news/coinbase-to-cut-14-of-workforce-as-armstrong-pushes-ai-native-structure/,True
wklgb3,changed,1,4,0,789,654,2026-05-05,https://crypto.news/elon-musk-settles-sec-twitter-case-with-1-5m-fine/,True
3slb1w,changed,1,4,0,792,637,2026-05-06,https://crypto.news/ripple-ceo-brad-garlinghouse-says-clarity-act-could-stall-before-midterms/,True
7ej0an,changed,1,4,0,793,780,2026-05-06,https://crypto.news/eric-trump-blasts-jpmorgan-bitcoin-reversal/,True
98dvvp,changed,1,4,0,792,629,2026-05-06,https://crypto.news/coinbase-sued-by-anonymous-whale-over-frozen-dai-from-55m-scam/,True
bhsoaq,changed,1,4,0,793,607,2026-05-06,https://crypto.news/cftc-may-lock-in-phantom-style-crypto-wallet-protections/,True
iorh9a,changed,1,4,0,793,799,2026-05-06,https://crypto.news/gillibrand-talks-crypto-law-at-consensus-miami/,True
m8vv82,changed,1,4,0,786,725,2026-05-06,https://crypto.news/tennessee-bankers-pick-stablecore-as-digital-asset-push-grows/,True
u0ty6v,changed,1,4,0,794,608,2026-05-06,https://crypto.news/kelp-dao-moves-rseth-to-chainlink-ccip-as-layerzero-dispute-grows/,True
xw0swz,changed,1,4,0,791,651,2026-05-06,https://crypto.news/fairshake-and-ai-pacs-pour-100m-into-midterms/,True
1k0ljz,changed,1,4,0,787,484,2026-05-07,https://crypto.news/bny-mellon-lifts-strategy-stake-to-1-million-shares-worth-187-2-million/,True
4i6asx,changed,1,1,0,525,660,2026-05-07,https://crypto.news/swiss-bank-amina-brings-canton-coin-into-regulated-finance/,True
8v69uf,changed,1,2,0,601,759,2026-05-07,https://crypto.news/crypto-firms-push-for-bank-licenses-at-consensus/,True
jgfnw7,changed,1,4,0,794,593,2026-05-07,https://crypto.news/jpmorgan-mastercard-and-ripple-test-tokenized-treasury-settlement-on-xrpl/,True
nvv4jt,changed,1,4,0,793,746,2026-05-07,https://crypto.news/bithumb-targets-vietnam-crypto-exchange-market-through-ssid-deal/,True
qxjsgg,changed,1,4,0,786,681,2026-05-07,https://crypto.news/feds-collins-pushes-back-on-cut-talk-wants-either-way-guidance/,True
u5a9p5,changed,1,4,0,794,575,2026-05-07,https://crypto.news/zachxbt-accuses-lab-founder-of-cex-manipulation-that-harms-retail-investors/,True
yrxnlb,changed,1,4,0,790,445,2026-05-07,https://crypto.news/us-jobless-claims-come-in-at-200000-strong-labor-data-keeps-pressure-on-crypto/,True
2pzyrn,changed,1,4,0,782,784,2026-05-08,https://crypto.news/nagel-warns-iran-war-is-fueling-inflation-risks-as-ecb-stays-on-alert/,True
5mg47a,changed,1,2,0,788,783,2026-05-08,https://crypto.news/strategic-crypto-positioning-after-the-latest-fed-policy-how-investors-can-earn-passive-income-with-shr-miner-online-ai-mining/,True
5tjwsn,unchanged,1,4,4,784,784,2026-05-08,https://crypto.news/coinbase-push-senate-to-loosen-manipulation-test-for-small-cap-token-listings/,False
6oi25l,changed,1,4,0,797,529,2026-05-08,https://crypto.news/sanders-calls-for-fed-rate-cuts-as-crypto-watches-policy-rift-widen/,True
7r2psb,changed,1,4,0,791,627,2026-05-08,https://crypto.news/aws-outage-knocks-coinbase-exchange-offline-for-two-hours/,True
i71nwe,changed,1,4,0,788,743,2026-05-08,https://crypto.news/coinbase-pushes-clarity-act-senate-vote-next-week/,True
iz4wta,changed,1,2,0,790,541,2026-05-08,https://crypto.news/blockchainfx-could-be-the-leading-crypto-to-buy-in-2026-for-those-who-missed-chainlink/,True
p63ra4,changed,1,4,0,789,783,2026-05-08,https://crypto.news/tether-blacklists-371-wallets-after-515m-usdt-freeze-in-30-days/,True
pkg2yd,changed,1,1,0,644,624,2026-05-08,https://crypto.news/ecb-chief-christine-lagarde-raises-fresh-concerns-over-euro-stablecoins/,True
u1ng9x,changed,1,4,0,786,527,2026-05-08,https://crypto.news/softbank-cuts-openai-backed-loan-target-to-6b-as-lenders-balk-at-valuation/,True
1j1f1k,changed,1,4,0,786,611,2026-05-09,https://crypto.news/banks-try-to-kill-the-clarity-act/,True
bfv3d9,changed,1,4,0,794,748,2026-05-09,https://crypto.news/amazon-lets-ai-bots-pay-in-usdc-via-coinbase-x402/,True
v8c8ok,changed,1,4,0,793,740,2026-05-09,https://crypto.news/morgan-stanley-launche-etrade-crypto-at-0-5percent-fee/,True
z8carh,changed,1,4,0,790,543,2026-05-09,https://crypto.news/stablecoin-execs-warn-on-hard-part-ahead/,True
