id,date,domain,url,initiative,audit_reasons,decision,decision_reason
1rt2tw,2026-05-08,www.finextra.com,https://www.finextra.com/pressarticle/109771/unlimit-partners-with-decentro-to-boost-cross-border-payments-in-india,Unlimit partners with Decentro to boost cross-border payments in India,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
5tjwv4,2026-05-08,crypto.news,https://crypto.news/coinbase-push-senate-to-loosen-manipulation-test-for-small-cap-token-listings/,Coinbase push Senate to loosen “manipulation” test for small-cap token listings,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
645rvn,2026-05-08,www.coindesk.com,https://www.coindesk.com/business/2026/05/08/ecb-s-lagarde-warns-tether-and-circle-stablecoins-risk-digital-dollarisation-in-europe,ECB's Lagarde’s digital euro warning: Why Europe shouldn’t just copy the U.S. stablecoin model,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
vorbyv,2026-05-08,crypto.news,https://crypto.news/ondo-price-breaks-0-30-resistance-amid-rwa-growth-can-it-revisit-january-highs/,"Ondo price breaks $0.30 resistance amid RWA growth, can it revisit January highs?",site_nav|title_overlap_too_low,keep,Reviewed full description; no site-navigation/footer contamination found.
ukl43l,2026-05-08,www.coindesk.com,https://www.coindesk.com/markets/2026/05/08/coinbase-bulls-point-to-crypto-legislation-and-stablecoins-after-earnings-miss,Coinbase bulls point to crypto legislation and stablecoins after earnings miss,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
21i35b,2026-05-08,crypto.news,https://crypto.news/leading-trends-in-the-uk-currency-and-cryptocurrency-markets-in-2026/,Leading trends in the UK currency and cryptocurrency markets in 2026,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
i2gych,2026-05-08,crypto.news,https://crypto.news/21shares-tcan-etf-brings-canton-network-exposure-to-u-s-investors/,21Shares TCAN ETF brings Canton Network exposure to U.S. investors,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
xi15wk,2026-05-07,www.chainalysis.com,https://www.chainalysis.com/blog/crypto-prediction-markets/,Crypto Prediction Markets Explained: How the Blockchain Is Reshaping Forecasting,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
iw2qwq,2026-05-07,www.finextra.com,https://www.finextra.com/pressarticle/109766/mastercard-and-yellow-card-target-stablecoin-payments-in-eemea,Mastercard and Yellow Card target stablecoin payments in EEMEA,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
kv6bw9,2026-05-07,www.theblock.co,https://www.theblock.co/post/400436/crypto-etf-boom-continues-with-debut-of-first-fund-to-track-canton,Crypto ETF boom continues with debut of first fund to track Canton,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
g9pd2j,2026-05-07,crypto.news,https://crypto.news/swiss-bank-amina-brings-canton-coin-into-regulated-finance/,Swiss bank AMINA brings Canton Coin into regulated finance,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
x7v54r,2026-05-06,www.coindesk.com,https://www.coindesk.com/policy/2026/05/06/nasdaq-s-president-says-the-sec-s-new-crypto-stance-is-letting-markets-build-again,Nasdaq's president says the SEC’s new crypto stance is letting markets 'build' again,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
gqu1m6,2026-05-06,www.ledgerinsights.com,https://www.ledgerinsights.com/nyse-okx-securitze-discuss-tokenizing-stocks-the-right-way-versus-synthetically/,"NYSE, OKX, Securitze discuss tokenizing stocks “the right way” versus synthetically",site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
nucl2o,2026-05-06,www.coindesk.com,https://www.coindesk.com/business/2026/05/06/blockchain-com-launches-snapmarkets-as-prediction-markets-move-into-faster-crypto-bets,Blockchain.com launches SnapMarkets as prediction markets move into faster crypto bets,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
e6x5f9,2026-05-06,www.coindesk.com,https://www.coindesk.com/policy/2026/05/06/crypto-custody-firm-taurus-granted-mifid-license-in-cyprus,Crypto custodian Taurus moves straight into EU capital markets with MiFID license in Cyprus,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
u0ty8h,2026-05-06,crypto.news,https://crypto.news/kelp-dao-moves-rseth-to-chainlink-ccip-as-layerzero-dispute-grows/,Kelp DAO moves rsETH to Chainlink CCIP as LayerZero dispute grows,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
fw24go,2026-05-05,www.coindesk.com,https://www.coindesk.com/business/2026/05/05/different-voices-in-product-policy-and-hiring-change-crypto-outcomes-panelists-tell-consensus-miami,"Different voices in product, policy and hiring change crypto outcomes, panelists tell Consensus Miami",site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
ggmwqa,2026-05-05,www.bis.org,https://www.bis.org/review/r260504c.htm,Sanjay Malhotra: Indian financial markets - resilience and resurgence,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
pxfkly,2026-05-05,www.bis.org,https://www.bis.org/review/r260505a.htm,"Piero Cipollone: Digital assets, payment efficiency and monetary policy",site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
7sabxe,2026-05-05,crypto.news,https://crypto.news/moscow-exchange-bets-bigger-on-crypto-with-sol-xrp-trx-and-bnb-indexes/,"Moscow Exchange bets bigger on crypto with SOL, XRP, TRX and BNB indexes",site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
kuyajx,2026-05-04,www.esma.europa.eu,https://www.esma.europa.eu/press-news/esma-news/esma-advances-simplification-eu-reporting-frameworks-funds-and-transactions,ESMA advances the simplification of EU reporting frameworks for funds and transactions,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
6c6h86,2026-05-04,crypto.news,https://crypto.news/bitget-cfd-daily-volume-hits-record-8b-on-gold-surge/,Bitget CFD daily volume hits record $8B on gold surge,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
5jumog,2026-05-04,coingeek.com,https://coingeek.com/prediction-markets-under-fire-as-insiders-game-the-system/,Prediction markets under fire as insiders game the system,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
b9jz5w,2026-05-04,crypto.news,https://crypto.news/coinbase-urges-cftc-to-keep-prediction-markets-under-rules/,Coinbase urges CFTC to keep prediction markets under rules,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
hy18c7,2026-05-02,www.esma.europa.eu,https://www.esma.europa.eu/press-news/esma-news/esma-launches-call-evidence-structure-european-equity-markets,ESMA launches a call for evidence on the structure of European equity markets,site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
7veodd,2026-05-02,www.esma.europa.eu,https://www.esma.europa.eu/press-news/esma-news/joint-committee-annual-report-highlights-digitalisation-cyber-resilience-and,"Joint Committee annual report highlights digitalisation, cyber resilience and sustainable finance as key priorities of 2025",site_nav,keep,Reviewed full description; no site-navigation/footer contamination found.
