id,status,old_contam,new_contam,attempt_used,date,url,old_len,new_len
cn6js8,changed,1,0,1,2026-05-11,https://crypto.news/canton-network-builder-nears-300m-raise-led-by-a16z-crypto/,235,708
vaf342,changed,0,0,1,2026-05-10,https://www.theblock.co/post/400647/canton-network-developer-digital-asset-eyes-300-million-raise-at-2-billion-valuation-led-by-a16z-crypto-bloomberg,453,494
1rt2oq,unchanged,0,0,0,2026-05-08,https://www.finextra.com/pressarticle/109771/unlimit-partners-with-decentro-to-boost-cross-border-payments-in-india,260,260
645ruw,changed,0,0,1,2026-05-08,https://www.coindesk.com/business/2026/05/08/ecb-s-lagarde-warns-tether-and-circle-stablecoins-risk-digital-dollarisation-in-europe,508,625
vorc0h,changed,0,0,1,2026-05-08,https://crypto.news/ondo-price-breaks-0-30-resistance-amid-rwa-growth-can-it-revisit-january-highs/,531,563
ukl45r,changed,0,0,1,2026-05-08,https://www.coindesk.com/markets/2026/05/08/coinbase-bulls-point-to-crypto-legislation-and-stablecoins-after-earnings-miss,462,585
1qcu1g,changed,0,0,1,2026-05-08,https://crypto.news/leading-trends-in-the-uk-currency-and-cryptocurrency-markets-in-2026/,407,645
i2gy9y,changed,0,0,1,2026-05-08,https://crypto.news/21shares-tcan-etf-brings-canton-network-exposure-to-u-s-investors/,470,544
lne9yv,changed,1,0,1,2026-05-08,https://crypto.news/polygon-reduces-block-time-amid-stablecoin-push/,620,703
cusjwx,changed,0,0,1,2026-05-08,https://crypto.news/coinbase-stock-falls-as-q1-loss-hits-nearly-400m/,298,625
b873y2,changed,0,0,1,2026-05-07,https://www.chainalysis.com/blog/crypto-prediction-markets/,362,554
iw2r6l,unchanged,0,0,0,2026-05-07,https://www.finextra.com/pressarticle/109766/mastercard-and-yellow-card-target-stablecoin-payments-in-eemea,349,349
x21e3y,changed,0,0,1,2026-05-07,https://www.coindesk.com/markets/2026/05/07/coinbase-stock-drops-4-after-surprise-1q-miss-as-crypto-trading-slows,338,695
kv6awm,changed,0,0,1,2026-05-07,https://www.theblock.co/post/400436/crypto-etf-boom-continues-with-debut-of-first-fund-to-track-canton,466,669
ipnmh3,changed,1,0,1,2026-05-07,https://crypto.news/bittrex-asks-court-to-void-24m-sec-settlement-over-crypto-stance/,541,767
7vgqzp,changed,0,0,1,2026-05-07,https://www.coindesk.com/markets/2026/05/07/ripple-jpmorgan-settle-first-cross-border-tokenized-treasury-redemption-on-xrp-ledger,545,706
x7v52t,changed,0,0,1,2026-05-06,https://www.coindesk.com/policy/2026/05/06/nasdaq-s-president-says-the-sec-s-new-crypto-stance-is-letting-markets-build-again,426,576
avtgtf,changed,0,0,1,2026-05-06,https://www.coindesk.com/business/2026/05/06/wall-street-s-clearinghouse-seeks-high-performance-blockchains-to-tokenize-corporate-actions,541,773
nucl4i,changed,0,0,1,2026-05-06,https://www.coindesk.com/business/2026/05/06/blockchain-com-launches-snapmarkets-as-prediction-markets-move-into-faster-crypto-bets,432,575
e6x5eo,changed,0,0,1,2026-05-06,https://www.coindesk.com/policy/2026/05/06/crypto-custody-firm-taurus-granted-mifid-license-in-cyprus,541,783
xv44sm,changed,0,0,1,2026-05-05,https://www.centrifuge.io/blog/coinbase-centrifuge,632,618
fw24ie,changed,0,0,1,2026-05-05,https://www.coindesk.com/business/2026/05/05/different-voices-in-product-policy-and-hiring-change-crypto-outcomes-panelists-tell-consensus-miami,495,543
ggmwpl,changed,0,0,1,2026-05-05,https://www.bis.org/review/r260504c.htm,345,615
pxflp5,changed,0,0,1,2026-05-05,https://www.bis.org/review/r260505a.htm,342,637
k2z5t,changed,1,0,1,2026-05-05,https://crypto.news/coinbase-opens-crypto-access-for-australias-self-managed-retirement-funds/,454,615
kuyah8,changed,0,0,1,2026-05-04,https://www.esma.europa.eu/press-news/esma-news/esma-advances-simplification-eu-reporting-frameworks-funds-and-transactions,447,491
kbm4rl,changed,0,0,1,2026-05-04,https://coingeek.com/prediction-markets-under-fire-as-insiders-game-the-system/,413,706
jfq08d,changed,1,0,1,2026-05-04,https://unchainedcrypto.com/senators-release-clarity-act-stablecoin-yield-compromise-as-white-house-pushes-for-may-markup/,550,570
b9jz4e,changed,0,0,1,2026-05-04,https://crypto.news/coinbase-urges-cftc-to-keep-prediction-markets-under-rules/,182,564
5mqdhe,changed,0,0,1,2026-05-03,https://crypto.news/blackrock-pushes-occ-to-rethink-tokenized-reserve-limits/,329,555
hy18e5,changed,0,0,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/esma-launches-call-evidence-structure-european-equity-markets,450,693
8y9f37,changed,1,0,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/esma-consults-guidelines-endorsement-under-esg-ratings-regulation,635,678
7veomj,changed,0,0,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/joint-committee-annual-report-highlights-digitalisation-cyber-resilience-and,568,580
